standard,mechanism,host_country,category,section,document_title,file_format,file_url,source_url
JCM,Joint Crediting Mechanism,Mongolia,General,Rules and Guidelines,Bilateral Document,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_bilateral_document.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,General,Rules and Guidelines,Modification of Bilateral Document,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/modification_bilat_doc_mn-jp.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Archive,Download All Forms,ZIP,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_Forms_Mongolia.zip,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Archive,Download All Rules and Guidelines,ZIP,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_Rules_and_Guidelines_Mongolia.zip,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Application Form for Designation as a Third-Party Entity,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_TPE_ver06.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Application Form for Designation as a Third-Party Entity,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_TPE_ver06.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Approved Methodology Revision Request Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_AMR_Req_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Approved Methodology Revision Request Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_AMR_Req_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Assessment of Reference Emissions Request Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Asst_Req_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Assessment of Reference Emissions Request Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Asst_Req_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Credits Issuance Request Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Iss_Req_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Credits Issuance Request Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Iss_Req_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Issuance Request Withdrawal Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_IW_Req_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Issuance Request Withdrawal Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_IW_Req_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Modalities of Communication Statement Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_MoC_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Modalities of Communication Statement Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_MoC_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Percentage of Credit Allocation Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Crd_Allc_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Percentage of Credit Allocation Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Crd_Allc_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Post-Registration Change Request Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_PRC_Req_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Post-Registration Change Request Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_PRC_Req_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Project Design Document Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_PDD_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Project Design Document Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_PDD_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Project Idea Note,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_PIN_ver06.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Project Idea Note,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_PIN_ver06.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Project Implementation Report Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Imp_Rep_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Project Implementation Report Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Imp_Rep_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Project Registration Request Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Reg_Req_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Project Registration Request Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Reg_Req_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Project Withdrawal Request Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_PW_Req_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Project Withdrawal Request Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_PW_Req_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Proposed Methodology Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_PM_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Proposed Methodology Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_PM_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Proposed Methodology Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_PMS_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Proposed Methodology Form,XLSX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_PMS_ver05.0.xlsx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Registration Request Withdrawal Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_RW_Req_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Registration Request Withdrawal Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_RW_Req_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Renewal of Crediting Period Request Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Ren_Req_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Renewal of Crediting Period Request Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Ren_Req_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Sustainable Development Implementation Plan Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_SDIP_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Sustainable Development Implementation Plan Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_SDIP_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Sustainable Development Implementation Report Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_SDIR_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Sustainable Development Implementation Report Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_SDIR_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Validation Report Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Val_Rep_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Validation Report Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Val_Rep_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Verification Report Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Vrf_Rep_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Verification Report Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Vrf_Rep_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Rules and Guidelines,Rules and Guidelines,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_RG_ver02.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
