source_id,source_name,methodology_name,methodology_code,version,related_projects_count,related_documents_count,countries_count,example_project_name,example_project_url,notes
jcm_mn,JCM Mongolia-Japan,Installation of solar photovoltaic system and battery energy storage system,MN_AM004,Ver1.0,1,0,1,Installation of 5MW solar PV system and 3.6MWh battery energy storage system in Zavkhan Province,https://www.jcm.go.jp/jc/mn-projects/,Parsed from JCM Mongolia-Japan methodology listing; no clear methodology-specific document match
jcm_mn,JCM Mongolia-Japan,Installation of Solar PV System,MN_AM003,Ver3.0,3,0,1,Introduction of 15MW Solar Power System near New Airport,https://www.jcm.go.jp/jc/mn-projects/,Parsed from JCM Mongolia-Japan methodology listing; no clear methodology-specific document match
jcm_mn,JCM Mongolia-Japan,Replacement and Installation of High Efficiency Heat Only Boiler (HOB) for Hot Water Supply Systems,MN_AM002,Ver1.0,2,0,1,Centralization of heat supply system by installation of high-efficiency Heat Only Boilers in Bornuur soum Project,https://www.jcm.go.jp/jc/mn-projects/,Parsed from JCM Mongolia-Japan methodology listing; no clear methodology-specific document match
jcm_mn,JCM Mongolia-Japan,Installation of energy-saving transmission lines in the Mongolian Grid,MN_AM001,Ver1.0,1,0,1,A HIGH EFFICIENCY AND LOW LOSS POWER TRANSMISSION AND DISTRIBUTION SYSTEM IN MONGOLIA,https://www.jcm.go.jp/jc/mn-projects/,Parsed from JCM Mongolia-Japan methodology listing; no clear methodology-specific document match
gold_standard,Gold Standard,ACM0001 Flaring or use of landfill gas,,,29,0,8,Alfenas Landfill Gas Project,https://registry.goldstandard.org/projects/details/13129,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,ACM0002 Grid-connected electricity generation from renewable sources,,,394,0,33,Pando and Monte Lirio Hydroelectric Plants,https://registry.goldstandard.org/projects/details/12983,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,ACM0006 Electricity and heat generation from biomass residues,,,5,0,4,14.4 MW Bio-Mass based Co-Gen Power Plant project by Oasis group in Haryana,https://registry.goldstandard.org/projects/details/12191,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,ACM0010 GHG emission reductions from manure management systems,,,25,0,4,Jinruifeng Animal Manure Management System GHG Mitigation Project in Guangdong Province,https://registry.goldstandard.org/projects/details/12291,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,ACM0012 Waste energy recovery,,,9,0,4,Waste Heat Recovery based power generation by Shree Cement Limited at Ras Rajasthan India,https://registry.goldstandard.org/projects/details/12056,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,ACM0014 Treatment of wastewater,,,5,0,3,Effluent Treatment Recycling and Energy Generation (ETREG) Plant Dwangwa,https://registry.goldstandard.org/projects/details/13115,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,ACM0018 Electricity generation from biomass residues in power-only plants,,,4,0,3,PNG Biomass Markham Valley Energy project,https://registry.goldstandard.org/projects/details/6502,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,ACM0022 Alternative waste treatment processes,,,7,0,5,Diverting Sargassum and Biodegradable Organic Matter from Landfills in Quintana Roo Mexico,https://registry.goldstandard.org/projects/details/13082,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,ACM0026 Fossil fuel based cogeneration for identified recipient facility(ies),,,1,0,1,National Company for Maize Products (NCMP) - Combined Heat & Power Project ,https://registry.goldstandard.org/projects/details/12990,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AM0036 Fuel switch from fossil fuels to biomass residues in heat generation equipment,,,1,0,1,KronoClimate,https://registry.goldstandard.org/projects/details/638,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AM0048 New cogeneration facilities supplying electricity and/or steam to multiple customers and displacing grid/off-grid steam and electricity generation with more carbon-intensive fuels,,,1,0,1,TPP Topar Kazakhmys Corporation LLC,https://registry.goldstandard.org/projects/details/1351,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AM0058 Introduction of a district heating system,,,1,0,1,Soma District Heating Project- Zone 1,https://registry.goldstandard.org/projects/details/2736,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AM0072 Fossil Fuel Displacement by Geothermal Resources for Space Heating,,,5,0,1,Hailifeng Shandong Geothermal Central Heating System,https://registry.goldstandard.org/projects/details/11941,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AM0073 GHG emission reductions through multi-site manure collection and treatment in a central plant,,,2,0,2,Centralized Livestock Manure Treatment Center in Xiayi County ,https://registry.goldstandard.org/projects/details/12250,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-I.A. Electricity generation by the user,,,51,0,11,Uplifting communities through clean energy in the DRC - VPA 1,https://registry.goldstandard.org/projects/details/12470,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-I.B. Mechanical energy for the user with or without electrical energy,,,13,0,2,Metafin-Off Grid Solar Milling Plants for Household Programme,https://registry.goldstandard.org/projects/details/23217,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-I.C. Thermal energy production with or without electricity,,,118,0,10,Biomass based cogeneration project by Olam Agri in Rajgoli Maharashtra,https://registry.goldstandard.org/projects/details/23146,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-I.D. Grid connected renewable electricity generation,,,220,0,23,Jasil Jel Energy 15MW Wind Project,https://registry.goldstandard.org/projects/details/12777,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-I.E. Switch from Non-Renewable Biomass for Thermal Applications by the User,,,81,0,14,CPA-MA-25-Madagascar Ethanol Stove Program,https://registry.goldstandard.org/projects/details/11717,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-I.F. Renewable electricity generation for captive use and mini-grid,,,21,0,10,BioGrow Energy,https://registry.goldstandard.org/projects/details/12384,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-I.I. Biogas/biomass thermal applications for households/small users,,,16,0,3,Waste Management PoA in India- Biogas for thermal applications- VPA 5 ,https://registry.goldstandard.org/projects/details/11594,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-I.J. Solar water heating systems (SWH) ,,,1,0,1,Dissemination of Solar Water Heating Systems in Bolivia,https://registry.goldstandard.org/projects/details/1224,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-I.K. Solar cookers for households,,,1,0,1,Afstor Solar Cooker,https://registry.goldstandard.org/projects/details/11186,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-I.L. Electrification of rural communities using renewable energy,,,4,0,3,Solar Power for Rural Villages in Madagascar,https://registry.goldstandard.org/projects/details/12379,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-II.C. Demand-side energy efficiency activities for specific technologies,,,3,0,2,Orb Energy Solar Program in India - VPA03,https://registry.goldstandard.org/projects/details/5643,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-II.E. Energy efficiency and fuel switching measures for buildings,,,11,0,4,Greening by Insulating for low income housing in NY – VPA 01,https://registry.goldstandard.org/projects/details/23234,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,,,206,0,25,Distribution of Improved Cookstoves by Alphabet Greens,https://registry.goldstandard.org/projects/details/12494,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-II.J. Demand-side activities for efficient lighting technologies,,,1,0,1,Distribution of Energy Savings Lamps in Madagascar - Project 1,https://registry.goldstandard.org/projects/details/1334,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-II.J. Demand-side activities for efficient lighting technologies ,,,4,0,1,GS1141 CLF Replacement Project Western Cape - CPA-01,https://registry.goldstandard.org/projects/details/1175,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-II.L Demand-side activities for efficient outdoor and street lighting technologies,,,1,0,1,Solar Lighting Mayotte,https://registry.goldstandard.org/projects/details/11657,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-II.M Demand-side energy efficiency activities for installation of low-flow hot water savings devices,,,2,0,1,Mexico Water Energy & Emissions Efficiency Residential Program – CPA.DF.1,https://registry.goldstandard.org/projects/details/1187,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-III.AJ. Recovery and recycling of materials from solid wastes,,,4,0,3,Bariq Starlinger 215 PET Recycling Line,https://registry.goldstandard.org/projects/details/12672,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-III.AO. Methane recovery through controlled anaerobic digestion,,,1,0,1,IOT Mabagas Limited power plant Pudhuchatram,https://registry.goldstandard.org/projects/details/3607,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-III.AQ. Introduction of Bio-CNG in transportation applications,,,1,0,1,ATBL Bio-CNG Project In Barsana,https://registry.goldstandard.org/projects/details/12637,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-III.AR. Substituting fossil fuel based lighting with LED lighting systems,,,18,0,10,GS10875 Namene Solar Lights Distribution Programme in Southern African Countries - Lesotho VPA 1 ,https://registry.goldstandard.org/projects/details/12036,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-III.AS. Switch from fossil fuel to biomass in existing manufacturing facilities for non-energy applications,,,3,0,2,Biomass Briquettes in Tea Factories: Chebut Tombe Boito Itumbe Kapkoros & Tegat,https://registry.goldstandard.org/projects/details/12188,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-III.AV. Low greenhouse gas emitting water purification systems,,,12,0,5,GS11574 GS11718 RVPA-1 CPA-MA-002-Malawi,https://registry.goldstandard.org/projects/details/12810,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-III.BA Recovery and recycling of materials from E-waste,,,3,0,2,FPD Robotic E-Waste Recycling eLoop US,https://registry.goldstandard.org/projects/details/12952,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-III.BG Emission reduction through sustainable charcoal production and consumption,,,1,0,1,EcoMakala Virunga Energy project,https://registry.goldstandard.org/projects/details/5391,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-III.BL. Integrated methodology for electrification of communities v2,,,1,0,1,GS11598- VPA-1 Emission Reductions due to distributed energy solutions by Bboxx – Rwanda Solar Home Systems ,https://registry.goldstandard.org/projects/details/11600,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-III.BL. Integrated methodology for electrification of communities v2,,,1,0,1,Solar DC programme in off-grid regions in India,https://registry.goldstandard.org/projects/details/7467,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-III.BM: Lightweight two and three wheeled personal transportation version 1.0,,,3,0,2,GS11329 VPA-2 Beam Mobility- Micromobility VPA in Republic of Korea,https://registry.goldstandard.org/projects/details/23190,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-III.C. Emission reductions by electric and hybrid vehicles,,,6,0,5,Zeno Moto Electric Mobility POA,https://registry.goldstandard.org/projects/details/13104,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-III.D. Methane recovery in animal manure management systems,,,4,0,3,Hanbao Compost Project in Taiwan,https://registry.goldstandard.org/projects/details/23197,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-III.F. Avoidance of methane emissions through controlled biological treatment of biomass,,,7,0,6,Reduction of Methane Emissions through Manure Composting at KOFERT ORGANIC Baicoi - Romania,https://registry.goldstandard.org/projects/details/23241,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-III.G. Landfill methane recovery,,,2,0,2,Dongming County Municipal Solid Waste Disposal Site Biogas Electricity Generation Project,https://registry.goldstandard.org/projects/details/11537,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-III.H. Methane recovery in wastewater treatment,,,4,0,3,Thai Wah Biogas WWT Project,https://registry.goldstandard.org/projects/details/12437,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-III.I. Avoidance of methane production in wastewater treatment through replacement of anaerobic systems by aerobic systems,,,1,0,1,Chumporn applied biogas technology for advanced waste water management,https://registry.goldstandard.org/projects/details/708,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-III.Q. Waste Energy Recovery (gas/heat/pressure) Projects,,,2,0,1,The WHR Project in Zhangzhou Kibing Glass Group Co. Ltd.,https://registry.goldstandard.org/projects/details/2442,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-III.S. Introduction of low-emission vehicles/technologies to commercial vehicle fleets,,,3,0,2,Brigo Sustainable Transport,https://registry.goldstandard.org/projects/details/11726,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,"AMS-III.Z. Fuel Switch = 159, process improvement and energy efficiency in brick manufacture",,,4,0,1,Sustainable Brick Production in Malawi,https://registry.goldstandard.org/projects/details/12171,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,"AMS-III.Z. Fuel Switch, process improvement and energy efficiency in brick manufacture",,,2,0,1,India FaL-G Brick and Blocks Project No.4,https://registry.goldstandard.org/projects/details/6405,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,,,21,0,12,Duguna Fango and Damot Weyde Assisted Farmer Managed Natural Regeneration for Sustainable Land Management and Livelihood Improvement Project,https://registry.goldstandard.org/projects/details/23253,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,GS Advanced Hull Coatings v2.,,,2,0,1,Programme for the application of advanced hull coatings to reduce shipping fuel consumption (PAHSF),https://registry.goldstandard.org/projects/details/3492,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,GS Alternative Ignition Coal Fires v1.,,,13,0,1,Highveld Air Quality - Wesselton project,https://registry.goldstandard.org/projects/details/993,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,GS Baseline and Monitoring Methodology Biodigester v1.,,,8,0,2,Sidlaghatta Biogas Project,https://registry.goldstandard.org/projects/details/716,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,GS Biodiesel from Waste Oil or Fat v1.,,,1,0,1,Recyling Used Cooking Oil into Biodiesel in Bali,https://registry.goldstandard.org/projects/details/1374,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,GS MS Microscale Electrification and Energization v1.,,,1,0,1,Energy for Mam Rashan,https://registry.goldstandard.org/projects/details/6460,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,GS MS Simplified Methodology for Efficient Cookstoves v1.,,,92,0,16,Fair Climate Programme for Sustainable Household Energy (PoA) - Fair Climate Programme: Bachat project - Odisha India (VPA 11),https://registry.goldstandard.org/projects/details/23153,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,GS MS Simplified Methodology for Efficient Cookstoves v1.1,,,159,0,7,Fair Climate Programme for Sustainable Household Energy (PoA) - Fair Climate Programme: Bachat project - Odisha India (VPA 10),https://registry.goldstandard.org/projects/details/23152,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,GS Methodology for Improved Cook stoves and Kitchen Regimes v1.,,,9,0,7,Darfur Efficient Cook-stove Project,https://registry.goldstandard.org/projects/details/500,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,GS Methodology for Improved Cook stoves and Kitchen Regimes v2.,,,12,0,6,FCN GS PoA for Rural Communities VPA 04,https://registry.goldstandard.org/projects/details/10466,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,,104,0,28,GS12362 GS12363 VPA 05 Safe Water Drinking Programme in Maharashtra,https://registry.goldstandard.org/projects/details/12473,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,"GS PAA: Methodology for Metered & Measured Energy Cooking Devices, V2.0",,,1,0,1,Deployment of LPG cookstoves in Kenya VPA 1,https://registry.goldstandard.org/projects/details/11970,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,GS Retrofit Energy Efficiency Measures in Shipping v1.,,,1,0,1,Golden Union Shipping Retrofit Project 1,https://registry.goldstandard.org/projects/details/11208,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,GS Retrofit Energy Efficiency Measures in Shipping v2,,,2,0,1,Canbaz Shipping Group Retrofit Project 1,https://registry.goldstandard.org/projects/details/12936,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,GS Revised Methodology for Manure Management Systems and MSW v1.,,,2,0,1,Halilbeyli Biogas Plant,https://registry.goldstandard.org/projects/details/7736,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,GS SS Ecologically Sound Fuel Switch to Biomass v1.,,,2,0,2,Letaba Biomass to Energy Project,https://registry.goldstandard.org/projects/details/467,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,,,73,0,20,Improved Cookstove and Safe Drinking Water Project in Africa and Asia-VPA2 Uganda,https://registry.goldstandard.org/projects/details/13096,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,GS TPDDTEC v 1.,,,269,0,29,GS1247 VPA 245 Improved Kitchen Regimes Manica Province Safe Water (Mozambique) ,https://registry.goldstandard.org/projects/details/10714,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,GS TPDDTEC v 2.,,,38,0,20,Proyecto Mirador Enhanced Distribution of Improved Cookstoves in Latin America – Third VPA for Distribution of Dos por Tres Cookstoves in Nicaragua,https://registry.goldstandard.org/projects/details/10458,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,GS TPDDTEC v 3.,,,2,0,2,India Dairy Biogas Program,https://registry.goldstandard.org/projects/details/11394,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,GS TPDDTEC v3.1,,,218,0,30,UpEnergy – Social and Climate Impact Programme-Cooking Devices VPA-47,https://registry.goldstandard.org/projects/details/13109,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,GS Water Access and WASH Methodology v1.,,,8,0,4,VPA-1 GivePower Kenya Solar Water Farms,https://registry.goldstandard.org/projects/details/12676,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,Methane Emission Reduction By Adjusted Water Management Practice In Rice Cultivation,,,13,0,4,GS12572 VPA-9 Sustainable Paddy Cultivation in Ghana,https://registry.goldstandard.org/projects/details/13059,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,Methodology for Metered & Measured Energy Cooking Devices,,,38,0,15,GS11993 GS11994 VPA3: African Clean Energy for Cooking in Uganda,https://registry.goldstandard.org/projects/details/12817,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,Methodology for animal waste management and biogas application,,,8,0,3,Sow & Reap Agro Pvt Ltd Clean Cooking Programme in India,https://registry.goldstandard.org/projects/details/13131,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,Not provided,,,52,0,19,GS23213 VPA-2 Ibu Bakau: Community-powered Mangrove Afforestation in Indonesia 2,https://registry.goldstandard.org/projects/details/23215,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,Other,,,48,0,20,Installation of high efficiency wood burning cookstoves in Vietnam,https://registry.goldstandard.org/projects/details/23208,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,Soil Organic Carbon Framework Methodology,,,3,0,3,The Taiwan Sustainable Grain Production Project,https://registry.goldstandard.org/projects/details/13142,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,"The Gold Standard Simplified Methodology for Clean and Efficient Cookstoves, Version 3.0",,,9,0,3,Improved Cookstoves and Healthy Lives in Nepal - VPA 4,https://registry.goldstandard.org/projects/details/13083,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
puro_earth,Puro Earth,"Biochar, 2022",,,80,0,27,Alcom-01-NuevaEcijaPhilippines,https://registry.puro.earth/projects/227253,Distinct methodology labels from Puro Earth registry projects; no clear methodology-specific document match
puro_earth,Puro Earth,Carbonated Materials,,,4,0,2,Avonmouth Production Facility,https://registry.puro.earth/projects/756292,Distinct methodology labels from Puro Earth registry projects; no clear methodology-specific document match
puro_earth,Puro Earth,"Enhanced Rock Weathering, 2022",,,5,0,2,Eion - Twinterstellar 3021,https://registry.puro.earth/projects/387867,Distinct methodology labels from Puro Earth registry projects; no clear methodology-specific document match
puro_earth,Puro Earth,Geologically stored carbon,,,2,0,2,Gevo North Dakota,https://registry.puro.earth/projects/353054,Distinct methodology labels from Puro Earth registry projects; no clear methodology-specific document match
puro_earth,Puro Earth,"Geologically stored carbon, 2024",,,1,0,1,Mammoth,https://registry.puro.earth/projects/417791,Distinct methodology labels from Puro Earth registry projects; no clear methodology-specific document match
puro_earth,Puro Earth,Soil Amendment,,,1,0,1,Soilfood-1-Finland,https://registry.puro.earth/projects/785725,Distinct methodology labels from Puro Earth registry projects; no clear methodology-specific document match
puro_earth,Puro Earth,Terrestrial Storage of Biomass,,,8,0,3,Carbonsate Project Namibia,https://registry.puro.earth/projects/583695,Distinct methodology labels from Puro Earth registry projects; no clear methodology-specific document match
puro_earth,Puro Earth,Wooden Building Elements,,,14,0,5,A. James - 50370 Brecey,https://registry.puro.earth/projects/181856,Distinct methodology labels from Puro Earth registry projects; no clear methodology-specific document match
